ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
363562.94,5.9,0.73,176181.78,2.86
363085.05,5.89,0.72,175640.2,2.85
362518.34,5.88,0.71,174947.63,2.84
362986.97,5.89,0.72,174857.22,2.84
363264.24,5.9,0.72,175919.56,2.86
362786.35,5.89,0.72,175377.99,2.85
363254.98,5.9,0.73,175287.57,2.85
363723.6,5.91,0.73,175197.15,2.85
363261.22,5.9,0.73,174734.77,2.84
363750.76,5.91,0.74,174601.58,2.84
364219.39,5.92,0.75,174511.16,2.84
363530.58,5.91,0.73,173822.36,2.82
365046.41,5.93,0.76,174032.64,2.83
365515.04,5.94,0.77,173942.22,2.83
366315.77,5.96,0.78,174120.22,2.83
370108.88,6.02,0.84,177392.85,2.88
369630.98,6.01,0.84,176851.27,2.88
370099.61,6.02,0.85,176760.86,2.87
370062.91,6.02,0.85,176598.29,2.87
372108.73,6.05,0.88,177338.57,2.88
372577.36,6.06,0.89,177248.15,2.88
372854.64,6.07,0.89,178310.49,2.9
372376.74,6.06,0.89,177768.92,2.89
371810.04,6.05,0.88,177076.35,2.88
372795.8,6.07,0.9,177512.06,2.89
373264.43,6.08,0.9,177421.64,2.89
373541.7,6.08,0.91,178483.98,2.91
373063.81,6.07,0.9,177942.41,2.9
373088.78,6.08,0.9,177894.71,2.9
372917.08,6.07,0.9,177870.3,2.9
372418.27,6.07,0.89,177371.49,2.89
372695.55,6.07,0.9,178433.84,2.91
372560.52,6.07,0.9,178226.14,2.9
373050.06,6.08,0.91,178092.95,2.9
373013.36,6.08,0.91,177930.38,2.9
373481.98,6.09,0.91,177839.97,2.9
373950.61,6.1,0.92,177749.55,2.9
375301.37,6.12,0.95,178720.08,2.91
374633.48,6.11,0.94,177988.51,2.9
375102.11,6.12,0.94,177898.09,2.9
376848.01,6.15,0.97,179496.76,2.93
377167.5,6.15,0.98,179708.19,2.93
376689.61,6.14,0.97,179166.61,2.92
376211.72,6.14,0.97,178625.04,2.91
376680.34,6.15,0.97,178534.62,2.91
376692.45,6.15,0.97,178483.04,2.91
378208.28,6.17,1.0,178693.32,2.92
378676.91,6.18,1.01,178602.91,2.92
378199.02,6.17,1.0,178061.33,2.91
381992.12,6.24,1.06,181333.95,2.96
381955.42,6.24,1.06,181171.39,2.96
381266.61,6.23,1.05,180482.58,2.95
382067.34,6.24,1.07,180660.59,2.95
381849.45,6.24,1.06,180379.01,2.95
382318.08,6.25,1.07,180288.59,2.95
382786.7,6.25,1.08,180198.17,2.94
382568.81,6.25,1.08,179916.6,2.94
382002.11,6.24,1.07,179224.03,2.93
382017.08,6.24,1.07,179166.33,2.93
382029.19,6.24,1.07,179114.76,2.93
381361.3,6.23,1.06,178383.18,2.92
380794.59,6.23,1.05,177690.61,2.91
381263.22,6.23,1.06,177600.19,2.9
381731.85,6.24,1.07,177509.78,2.9
382128.44,6.25,1.08,177751.89,2.91
382617.98,6.26,1.09,177618.7,2.91
382140.09,6.25,1.08,177077.12,2.9
381662.2,6.25,1.07,176535.55,2.89
382479.43,6.26,1.09,176757.12,2.89
382427.71,6.26,1.09,176777.1,2.89
383228.44,6.27,1.1,176955.11,2.9
383176.72,6.27,1.1,176821.47,2.9
384692.55,6.3,1.13,177031.75,2.9
387208.37,6.34,1.17,178242.03,2.92
387171.67,6.34,1.17,178188.08,2.92
388972.41,6.37,1.2,179366.09,2.94
388494.51,6.36,1.19,178824.51,2.93
390010.34,6.39,1.22,179034.79,2.93
389532.45,6.38,1.21,178493.22,2.92
390518.21,6.4,1.23,178928.92,2.93
390986.84,6.41,1.24,178838.51,2.93
392502.67,6.43,1.26,179048.79,2.93
392992.21,6.44,1.27,178915.6,2.93
393460.84,6.45,1.28,178825.18,2.93
392894.13,6.44,1.27,178132.62,2.92
394244.89,6.47,1.29,179103.15,2.94
394086.34,6.46,1.29,178944.6,2.93
394086.34,6.46,1.29,178944.6,2.93
393608.45,6.46,1.28,178403.02,2.93
394542.6,6.47,1.3,178868.92,2.93
395032.14,6.48,1.31,178786.14,2.93
398825.24,6.54,1.37,182058.77,2.99
398136.43,6.53,1.36,181369.96,2.98
398937.17,6.55,1.37,181547.97,2.98
399050.67,6.55,1.38,181634.41,2.98
398382.78,6.54,1.37,180902.83,2.97
399733.54,6.56,1.39,181873.36,2.99
400185.21,6.57,1.4,181702.3,2.98
399707.32,6.56,1.39,181160.73,2.97
400175.94,6.57,1.4,181070.31,2.97
400976.68,6.59,1.41,181248.32,2.98
401068.28,6.59,1.41,181217.9,2.98
401345.56,6.59,1.42,182280.24,2.99
401835.1,6.6,1.43,182197.47,2.99
401634.17,6.6,1.43,181996.53,2.99
402619.93,6.62,1.44,182432.24,3.0
402583.23,6.62,1.44,182269.67,3.0
403383.96,6.63,1.46,182447.68,3.0
403357.26,6.63,1.46,182295.11,3.0
404157.99,6.64,1.47,182473.12,3.0
403744.2,6.65,1.47,182473.12,3.0
403859.17,6.65,1.48,182515.42,3.0
404327.8,6.66,1.48,182425.0,3.0
406073.7,6.69,1.51,184023.67,3.03
409866.8,6.75,1.58,187296.3,3.08
410225.87,6.76,1.58,187547.72,3.09
409659.17,6.75,1.58,186963.78,3.08
413452.27,6.81,1.64,190236.4,3.13
412763.46,6.8,1.63,189547.59,3.12
413829.32,6.82,1.65,189307.9,3.12
414297.95,6.83,1.66,189217.48,3.12
416043.85,6.86,1.68,190816.16,3.15
416533.39,6.87,1.69,190733.38,3.14
417002.02,6.88,1.7,190642.96,3.14
417093.21,6.88,1.7,190683.75,3.14
417544.88,6.89,1.71,190512.69,3.14
418013.5,6.89,1.72,190422.27,3.14
421806.61,6.96,1.78,193694.89,3.19
421658.72,6.96,1.78,193483.32,3.19
421073.7,6.95,1.77,192865.84,3.18
421542.33,6.96,1.78,192775.43,3.18
421043.52,6.95,1.78,192226.21,3.17
421844.26,6.96,1.79,192404.22,3.18
423195.02,6.98,1.81,193374.75,3.19
423995.75,7.0,1.83,193552.76,3.2
424464.38,7.01,1.84,193462.34,3.19
425815.14,7.03,1.86,194432.87,3.21
426702.34,7.05,1.87,194946.83,3.22
427688.11,7.06,1.89,195382.53,3.23
428156.73,7.07,1.9,195292.11,3.23
427678.84,7.06,1.89,194750.54,3.22
428168.38,7.07,1.9,194667.76,3.22
428009.83,7.07,1.9,194509.21,3.21
428995.59,7.09,1.92,194944.92,3.22
429464.22,7.1,1.92,194854.5,3.22
430449.98,7.11,1.94,195290.2,3.23
430901.65,7.12,1.95,195119.14,3.22
430761.62,7.12,1.95,194736.61,3.22
431158.21,7.13,1.96,194978.72,3.22
432904.12,7.16,1.99,196577.4,3.25
432426.22,7.15,1.98,196035.82,3.24
431737.42,7.14,1.97,195296.61,3.23
432538.15,7.15,1.98,195474.61,3.23
433027.69,7.16,1.99,195391.83,3.23
433479.36,7.17,2.0,195220.77,3.23
433001.47,7.17,1.99,194679.2,3.22
432540.54,7.16,1.99,194218.27,3.21
433009.16,7.17,2.0,194127.85,3.21
432531.27,7.16,1.99,193586.27,3.21
431863.38,7.15,1.98,192854.7,3.19
432332.01,7.16,1.99,192764.28,3.19
432356.98,7.16,1.99,192716.58,3.19
432825.61,7.17,2.0,192626.16,3.19
433315.15,7.18,2.01,192543.38,3.19
433783.77,7.19,2.02,192452.97,3.19
433405.62,7.18,2.01,192057.57,3.18
433874.25,7.19,2.02,191967.15,3.18
434674.98,7.21,2.03,192145.16,3.19
435143.61,7.22,2.04,192054.74,3.18
435612.23,7.22,2.05,191964.32,3.18
436101.78,7.23,2.06,191881.55,3.18
436203.88,7.24,2.06,191919.97,3.18
435637.18,7.23,2.05,191227.4,3.17
436987.94,7.25,2.08,192197.94,3.19
437477.49,7.26,2.09,192064.75,3.19
437946.11,7.27,2.1,191974.33,3.19
438414.74,7.28,2.1,191883.92,3.19
437936.85,7.27,2.1,191342.34,3.18
438405.47,7.28,2.11,191251.92,3.18
438430.45,7.28,2.11,191204.22,3.17
437863.74,7.27,2.1,190511.66,3.16
437297.04,7.26,2.09,189819.09,3.15
436798.23,7.26,2.08,189269.87,3.14
437266.86,7.27,2.09,189179.45,3.14
438067.59,7.28,2.11,189357.46,3.15
437399.7,7.27,2.1,188625.88,3.14
438216.93,7.28,2.11,188847.45,3.14
438623.27,7.29,2.12,189229.75,3.15
437972.33,7.28,2.11,188578.82,3.14
437903.28,7.28,2.11,187931.43,3.12
437903.28,7.28,2.11,187931.43,3.12
438180.55,7.29,2.11,188993.77,3.14
439696.38,7.31,2.14,190591.49,3.17
439644.66,7.31,2.14,190477.83,3.17
439592.93,7.31,2.14,190477.83,3.17
439094.13,7.31,2.13,189928.62,3.16
439364.15,7.31,2.14,189679.61,3.16
438713.22,7.3,2.13,189028.67,3.15
438713.22,7.3,2.13,189028.67,3.15
438661.49,7.3,2.13,188915.02,3.14
438609.77,7.3,2.13,188915.02,3.15
438558.04,7.3,2.13,188801.36,3.14
439011.42,7.31,2.14,189350.54,3.15
438343.53,7.3,2.13,188618.97,3.14
439409.38,7.32,2.15,188379.28,3.14
439112.68,7.32,2.14,188027.63,3.13
439112.68,7.32,2.14,188027.63,3.13
439137.65,7.32,2.14,187979.93,3.13
439085.93,7.32,2.14,187866.28,3.13
439034.21,7.32,2.15,187866.28,3.13
438556.31,7.31,2.14,187324.7,3.12
438078.42,7.3,2.13,186783.13,3.11
438026.7,7.3,2.13,186669.47,3.11
438026.7,7.3,2.13,186669.47,3.11
438397.42,7.31,2.14,187112.5,3.12
438669.82,7.32,2.14,187115.0,3.12
438618.1,7.32,2.14,187074.7,3.12
438496.06,7.31,2.14,186916.04,3.12
438468.08,7.32,2.14,186911.27,3.12
438901.8,7.32,2.15,187863.72,3.13
438850.08,7.32,2.15,187860.28,3.14
438845.04,7.32,2.15,187727.39,3.13
438346.23,7.32,2.14,187178.17,3.12
438237.68,7.32,2.14,187069.62,3.12
438185.95,7.32,2.14,186959.4,3.12
437708.06,7.31,2.14,186417.83,3.11
437040.17,7.3,2.13,185686.25,3.1
437040.17,7.3,2.13,185686.25,3.1
436988.45,7.3,2.13,185656.21,3.1
437359.16,7.31,2.13,185967.63,3.11
437307.44,7.31,2.13,185853.97,3.11
436829.55,7.3,2.13,185312.4,3.1
436726.1,7.3,2.13,185198.74,3.1
436674.38,7.3,2.13,185198.74,3.1
436622.65,7.3,2.13,185195.3,3.1
436570.93,7.3,2.13,185085.09,3.1
436519.2,7.3,2.13,184971.43,3.09
436308.8,7.3,2.13,184777.06,3.09
435946.36,7.29,2.12,184442.03,3.09
435894.63,7.29,2.12,184442.03,3.09
435894.63,7.29,2.12,184442.03,3.09
435919.61,7.29,2.12,184394.33,3.09
435251.71,7.28,2.11,183662.76,3.07
434562.91,7.27,2.1,182923.54,3.06
434969.24,7.28,2.11,183305.84,3.07
436852.53,7.31,2.14,185482.65,3.1
436163.73,7.3,2.13,184793.85,3.09
436436.13,7.31,2.14,184796.34,3.09
436384.41,7.31,2.14,184763.68,3.09
436803.04,7.32,2.14,185678.2,3.11
436901.87,7.32,2.15,185701.37,3.11
436850.15,7.32,2.15,185697.93,3.11
436798.42,7.32,2.15,185587.71,3.11
436746.7,7.32,2.15,185474.06,3.11
436694.97,7.32,2.15,185474.06,3.11
436643.25,7.32,2.15,185470.62,3.11
436591.53,7.32,2.15,185360.4,3.11
436539.8,7.32,2.15,185356.97,3.11
435871.91,7.31,2.14,184625.39,3.1
435820.19,7.31,2.14,184515.17,3.1
435723.04,7.31,2.14,184333.05,3.09
435723.04,7.31,2.14,184343.73,3.09
435671.31,7.31,2.14,184323.26,3.09
435683.42,7.31,2.14,184395.15,3.09
435015.53,7.3,2.13,183663.58,3.08
435287.94,7.31,2.13,183896.01,3.09
435287.94,7.31,2.13,183896.01,3.09
435236.21,7.31,2.13,183892.57,3.09
434942.08,7.3,2.13,183596.95,3.08
434890.36,7.3,2.13,183486.73,3.08
435162.76,7.31,2.13,183489.23,3.08
434494.87,7.3,2.12,182757.66,3.07
434538.97,7.3,2.13,182837.58,3.07
435352.11,7.31,2.14,184220.06,3.09
437098.02,7.34,2.17,185818.73,3.12
437046.29,7.34,2.17,185705.08,3.12
436994.57,7.34,2.17,185705.08,3.12
437068.02,7.35,2.17,185587.46,3.12
437340.43,7.35,2.18,185589.96,3.12
437288.71,7.35,2.18,185557.3,3.12
437284.89,7.35,2.18,186039.4,3.13
436617.0,7.34,2.17,185307.82,3.12
436520.93,7.34,2.17,185120.87,3.11
436469.2,7.34,2.17,184988.82,3.11
436875.53,7.35,2.18,185371.12,3.12
436399.03,7.34,2.17,184867.56,3.11
436329.98,7.34,2.17,184220.17,3.1
437845.81,7.37,2.2,185817.88,3.13
438216.52,7.38,2.2,185841.93,3.13
438164.8,7.38,2.2,185838.49,3.13
438113.08,7.38,2.21,185728.28,3.13
438061.35,7.38,2.21,185724.84,3.13
438009.63,7.38,2.21,185614.62,3.13
437657.34,7.37,2.2,184997.15,3.12
437605.61,7.37,2.2,184945.42,3.12
437253.75,7.37,2.2,184327.95,3.11
437298.55,7.37,2.2,185049.52,3.12
437195.1,7.37,2.2,184935.86,3.12
437684.41,7.38,2.21,185239.26,3.12
437324.38,7.38,2.2,184636.73,3.11
436964.35,7.37,2.2,184034.2,3.1
436912.63,7.37,2.2,184040.77,3.1
436614.93,7.37,2.19,183743.08,3.1
436985.65,7.37,2.2,183740.62,3.1
437359.68,7.38,2.21,184572.97,3.11
437439.76,7.38,2.21,184653.79,3.12
437388.04,7.38,2.21,184750.25,3.12
437028.01,7.38,2.21,184390.23,3.11
436667.98,7.37,2.2,183787.7,3.1
436667.98,7.37,2.2,183787.7,3.1
436835.59,7.38,2.2,183895.63,3.11
437656.73,7.39,2.22,184895.68,3.12
438027.45,7.4,2.23,184919.72,3.12
438027.45,7.4,2.23,184919.72,3.12
438299.86,7.4,2.23,184872.85,3.12
438033.23,7.4,2.23,186013.52,3.14
438059.31,7.4,2.23,185916.37,3.14
438885.91,7.42,2.24,186145.81,3.15
438885.91,7.42,2.24,186145.81,3.15
438834.19,7.42,2.24,186095.24,3.14
438806.21,7.42,2.24,186683.58,3.16
439239.93,7.43,2.25,186740.37,3.16
439512.33,7.43,2.26,186804.26,3.16
439460.61,7.43,2.26,186933.29,3.16
439429.7,7.43,2.26,186806.02,3.16
439069.67,7.43,2.25,186203.5,3.15
438856.9,7.42,2.25,185874.92,3.14
438504.08,7.42,2.25,185667.88,3.14
438640.91,7.42,2.25,185714.56,3.14
438589.18,7.42,2.25,185711.32,3.14
438537.46,7.42,2.25,185601.46,3.14
438485.73,7.42,2.25,185598.21,3.14
438856.45,7.43,2.26,185883.38,3.15
438804.73,7.43,2.26,185863.06,3.15
438753.0,7.43,2.26,185770.28,3.15
438392.97,7.43,2.25,185152.81,3.14
439106.45,7.44,2.27,185076.32,3.14
439054.73,7.44,2.27,185073.08,3.14
439324.75,7.44,2.27,184824.07,3.13
439273.03,7.44,2.27,184714.2,3.13
438913.0,7.44,2.27,184111.68,3.12
438550.56,7.43,2.26,183776.65,3.12
438921.27,7.44,2.27,183891.59,3.12
438869.55,7.44,2.27,184058.57,3.12
438509.52,7.44,2.26,183698.55,3.11
438457.8,7.44,2.26,183695.3,3.12
438095.35,7.43,2.26,183360.28,3.11
438043.63,7.43,2.26,183250.42,3.11
437850.24,7.43,2.26,183054.38,3.11
437850.24,7.43,2.26,183054.38,3.11
437646.11,7.42,2.25,182868.35,3.1
437971.47,7.43,2.26,182755.25,3.1
437919.75,7.43,2.26,183138.24,3.11
437919.75,7.43,2.26,183138.24,3.11
437868.02,7.43,2.26,183025.14,3.11
438004.85,7.44,2.26,183211.31,3.11
437652.03,7.43,2.26,183004.28,3.11
437600.31,7.43,2.26,182974.78,3.11
437737.13,7.43,2.26,183069.9,3.11
437873.96,7.44,2.26,183192.51,3.11
437873.96,7.44,2.26,183192.51,3.11
438010.78,7.44,2.27,183314.24,3.11
437959.06,7.44,2.27,183311.0,3.11
437907.33,7.44,2.27,183201.14,3.11
437620.25,7.44,2.26,182908.14,3.11
437568.52,7.44,2.26,182878.65,3.11
438021.9,7.45,2.27,183264.97,3.12
437725.2,7.44,2.27,183002.79,3.11
437673.47,7.44,2.27,182982.47,3.11
438110.81,7.45,2.28,183412.97,3.12
438059.08,7.45,2.28,183299.87,3.12
438007.36,7.45,2.28,183299.87,3.12
437818.7,7.45,2.27,183060.96,3.11
437955.53,7.45,2.28,183183.58,3.12
437955.53,7.45,2.28,183181.59,3.12
438408.9,7.46,2.29,183547.1,3.12
438545.73,7.46,2.29,183669.72,3.13
438682.56,7.47,2.29,183791.44,3.13
438630.83,7.47,2.29,183678.34,3.13
438579.11,7.47,2.29,183678.34,3.13
438527.38,7.47,2.29,183566.1,3.13
438475.66,7.47,2.29,183565.24,3.13
438423.94,7.47,2.29,183535.75,3.13
438372.21,7.47,2.3,183452.14,3.13
438509.04,7.47,2.3,183574.76,3.13
438457.31,7.47,2.3,183517.76,3.13
438405.59,7.47,2.3,183404.66,3.13
438353.87,7.47,2.3,183404.66,3.13
438302.14,7.47,2.3,183291.56,3.12
438250.42,7.47,2.3,183291.56,3.13
438198.69,7.47,2.3,183310.5,3.13
437978.29,7.47,2.3,183106.13,3.12
437503.19,7.46,2.29,182722.55,3.12
436503.19,7.45,2.27,181722.55,3.1
436451.46,7.45,2.27,181590.5,3.1
436399.74,7.45,2.28,181477.4,3.1
436348.02,7.45,2.28,181477.4,3.1
436296.29,7.45,2.28,181457.08,3.1
436244.57,7.45,2.28,181364.29,3.1
436192.84,7.45,2.28,181361.05,3.1
436192.84,7.45,2.28,181361.05,3.1
436192.84,7.45,2.28,181361.05,3.1
436141.12,7.45,2.28,181251.19,3.1
436511.84,7.46,2.28,181251.19,3.1
436949.17,7.46,2.29,181138.09,3.09
436897.45,7.46,2.29,181661.37,3.1
436845.72,7.47,2.29,181661.37,3.1
437171.09,7.47,2.3,182334.16,3.12
437307.92,7.47,2.3,182652.15,3.12
437256.19,7.48,2.3,182622.66,3.12
437204.47,7.48,2.3,182539.05,3.12
436842.03,7.47,2.3,182121.15,3.11
436790.3,7.47,2.3,182140.2,3.12
436503.21,7.47,2.29,181905.12,3.11
436451.49,7.47,2.29,181772.97,3.11
436330.32,7.46,2.29,181596.89,3.11
436655.68,7.47,2.3,181483.79,3.11
436792.51,7.47,2.3,182055.31,3.12
436740.79,7.47,2.3,181942.2,3.11
436452.89,7.47,2.3,181675.0,3.11
436401.17,7.47,2.3,181675.0,3.11
436349.45,7.47,2.3,181645.51,3.11
436621.85,7.48,2.3,181887.19,3.11
436570.13,7.48,2.3,181857.7,3.11
436842.54,7.48,2.31,182099.38,3.12
437114.94,7.49,2.32,182354.28,3.12
437485.66,7.49,2.32,182680.07,3.13
437133.22,7.49,2.32,182383.16,3.12
437653.44,7.5,2.33,182383.16,3.12
437790.27,7.5,2.33,182505.78,3.13
437738.55,7.5,2.33,182456.23,3.13
437457.31,7.5,2.33,182456.23,3.13
437828.03,7.51,2.33,182777.15,3.13
437776.3,7.51,2.33,182738.59,3.13
438048.71,7.51,2.34,183513.05,3.15
437996.99,7.51,2.34,183399.95,3.15
437776.27,7.51,2.34,183183.77,3.14
437724.55,7.51,2.34,183183.77,3.14
437672.82,7.51,2.34,183163.45,3.14
437310.38,7.5,2.33,182749.16,3.14
437672.54,7.51,2.34,183079.63,3.14
437620.81,7.51,2.34,183050.14,3.14
437569.09,7.51,2.34,182966.53,3.14
437517.36,7.51,2.34,182937.04,3.14
437888.08,7.52,2.35,183248.45,3.15
437836.36,7.52,2.35,183218.96,3.15
437473.91,7.51,2.34,182883.93,3.14
437422.19,7.51,2.34,182800.32,3.14
437370.47,7.51,2.34,182797.08,3.14
437318.74,7.51,2.34,182687.22,3.14
437267.02,7.51,2.34,182657.73,3.14
437637.74,7.52,2.35,182969.15,3.14
437586.01,7.52,2.35,182948.83,3.14
437233.57,7.52,2.34,182623.8,3.14
437505.98,7.52,2.35,182856.31,3.14
437876.69,7.53,2.36,182985.48,3.15
437824.97,7.53,2.36,183184.57,3.15
437773.25,7.53,2.36,183181.33,3.15
437479.12,7.53,2.35,182914.99,3.15
437615.94,7.53,2.36,182983.85,3.15
437202.15,7.53,2.36,182983.85,3.15
436865.06,7.53,2.35,182628.68,3.15
436813.34,7.53,2.35,182599.19,3.15
436761.61,7.53,2.35,182515.58,3.15
437123.76,7.53,2.36,182402.48,3.14
437072.04,7.53,2.36,182825.73,3.15
437072.04,7.53,2.36,182825.73,3.15
437020.32,7.54,2.36,182822.49,3.15
436657.87,7.53,2.36,182441.12,3.15
436606.15,7.53,2.36,182331.26,3.14
436554.43,7.53,2.36,182266.26,3.14
436260.3,7.53,2.35,181970.98,3.14
436208.57,7.53,2.35,181922.87,3.14
436533.94,7.53,2.36,181809.77,3.14
436904.65,7.54,2.37,182636.22,3.15
436542.21,7.53,2.36,182217.73,3.14
436490.49,7.53,2.36,182188.24,3.14
436861.21,7.54,2.37,182499.66,3.15
436498.76,7.54,2.36,182164.63,3.14
436447.04,7.54,2.36,182161.39,3.15
436395.32,7.54,2.36,182051.53,3.14
436343.59,7.54,2.36,182031.21,3.14
436291.87,7.54,2.36,181938.42,3.14
435997.74,7.53,2.36,181643.14,3.14
435946.01,7.53,2.36,181530.03,3.14
435894.29,7.53,2.36,181530.03,3.14
435842.56,7.53,2.36,181465.04,3.14
435648.43,7.53,2.36,181268.15,3.13
435596.71,7.53,2.36,181220.04,3.13
435399.81,7.53,2.36,181002.39,3.13
435112.73,7.52,2.35,180744.43,3.13
435061.0,7.52,2.35,180714.94,3.13
435009.28,7.52,2.35,180631.33,3.12
434957.55,7.52,2.35,180628.09,3.12
434905.83,7.52,2.35,180518.23,3.12
434854.11,7.53,2.35,180405.99,3.12
434804.11,7.52,2.35,180355.99,3.12
434587.12,7.52,2.35,180150.38,3.12
434587.12,7.52,2.35,180150.38,3.12
434292.99,7.52,2.34,179855.09,3.11
434241.27,7.52,2.34,179854.23,3.11
434189.54,7.52,2.34,179850.99,3.11
434189.54,7.52,2.34,179850.99,3.11
434461.95,7.52,2.35,180047.16,3.12
434832.67,7.53,2.36,180176.33,3.12
434780.94,7.53,2.36,180329.08,3.12
434729.22,7.53,2.36,180299.59,3.12
434730.82,7.53,2.36,180303.36,3.12
434368.38,7.53,2.35,179968.33,3.12
434171.49,7.52,2.35,179750.68,3.11
433877.35,7.52,2.34,179474.65,3.11
433825.63,7.52,2.35,179391.04,3.11
433773.91,7.52,2.35,179370.73,3.11
433722.18,7.52,2.35,179277.94,3.11
433670.46,7.52,2.35,179257.63,3.11
433618.73,7.52,2.35,179164.84,3.11
433567.01,7.52,2.35,179051.74,3.11
433515.29,7.52,2.35,179051.74,3.11
433652.11,7.52,2.35,179174.36,3.11
434089.45,7.53,2.36,179646.91,3.12
434037.72,7.53,2.36,179643.66,3.12
434557.95,7.54,2.37,179643.66,3.12
434694.78,7.54,2.37,179712.53,3.12
434831.6,7.55,2.38,179835.14,3.12
435359.26,7.56,2.39,179894.16,3.12
435307.53,7.56,2.39,179844.62,3.12
434977.25,7.55,2.38,179465.57,3.12
434925.53,7.55,2.38,179436.08,3.12
434873.8,7.55,2.38,179352.47,3.12
434822.08,7.55,2.38,179240.23,3.11
434958.9,7.56,2.39,179425.54,3.12
435095.73,7.56,2.39,179548.16,3.12
435044.01,7.56,2.39,179491.16,3.12
434992.28,7.56,2.39,179470.85,3.12
434940.56,7.56,2.39,179378.06,3.12
434888.83,7.56,2.39,179265.82,3.12
434837.11,7.56,2.39,179264.96,3.12
434785.38,7.56,2.39,179199.96,3.12
434733.66,7.56,2.39,179151.86,3.12
434681.94,7.56,2.39,179131.54,3.12
434464.95,7.56,2.39,178925.93,3.11
434413.23,7.56,2.39,178833.15,3.11
434361.5,7.56,2.39,179068.82,3.12
