ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
874727.96,14.44,0.87,243523.66,4.02
874727.96,14.44,0.87,243523.66,4.02
875046.02,14.44,0.88,243389.64,4.02
875200.28,14.45,0.88,243481.62,4.02
875251.81,14.45,0.88,243591.18,4.02
875663.94,14.46,0.89,243379.57,4.02
875952.3,14.46,0.9,243631.25,4.02
875692.37,14.46,0.9,243469.45,4.02
875743.9,14.46,0.9,243587.92,4.02
875942.18,14.47,0.9,243704.22,4.03
875993.71,14.47,0.91,243822.7,4.03
876147.98,14.48,0.91,243905.76,4.03
876308.3,14.48,0.91,243876.99,4.03
876072.32,14.48,0.91,243733.24,4.03
876123.85,14.48,0.91,243975.77,4.03
876175.38,14.48,0.92,243629.46,4.03
876226.91,14.49,0.92,243409.37,4.02
876278.44,14.49,0.92,243527.85,4.03
876168.44,14.49,0.92,243419.5,4.02
876399.29,14.49,0.93,243562.95,4.03
876252.54,14.49,0.92,243525.76,4.03
876412.86,14.49,0.93,243497.0,4.03
876464.39,14.5,0.93,243829.45,4.03
876228.41,14.49,0.93,243575.62,4.03
876228.41,14.49,0.93,243575.02,4.03
876058.48,14.49,0.92,243502.27,4.03
876110.01,14.49,0.93,243620.75,4.03
876161.54,14.5,0.93,243679.79,4.03
876213.07,14.5,0.93,243798.26,4.03
876264.6,14.5,0.94,243857.31,4.04
876028.08,14.5,0.93,243734.57,4.03
876188.4,14.5,0.94,243705.81,4.03
875952.42,14.5,0.93,243562.05,4.03
876118.32,14.5,0.94,243931.79,4.04
876272.59,14.51,0.94,244023.76,4.04
876183.79,14.51,0.94,243886.83,4.04
876235.32,14.51,0.94,243996.39,4.04
876022.55,14.51,0.94,243823.59,4.04
876074.08,14.51,0.94,243942.06,4.04
876304.94,14.52,0.95,244085.51,4.04
876197.75,14.51,0.95,243982.55,4.04
876358.07,14.52,0.95,243949.31,4.04
876122.09,14.51,0.95,243803.43,4.04
876173.62,14.52,0.95,244048.15,4.04
876173.62,14.52,0.95,244048.15,4.04
876225.15,14.52,0.95,244166.62,4.05
876055.22,14.52,0.95,244093.87,4.05
876106.75,14.52,0.95,244152.91,4.05
876158.28,14.52,0.96,244271.39,4.05
876318.59,14.53,0.96,244299.11,4.05
876318.59,14.53,0.96,246094.83,4.08
876370.12,14.53,0.96,245922.31,4.08
876134.14,14.53,0.96,245846.12,4.08
876185.67,14.53,0.96,246215.51,4.08
876237.2,14.53,0.97,246333.99,4.09
876468.06,14.54,0.97,246477.44,4.09
876519.59,14.54,0.97,246595.91,4.09
876679.91,14.54,0.98,246623.64,4.09
876572.72,14.54,0.98,246521.11,4.09
879724.82,14.6,1.03,252425.47,4.19
879776.35,14.6,1.03,252543.94,4.19
879550.37,14.6,1.03,252477.55,4.19
879550.37,14.6,1.03,252477.55,4.19
879601.9,14.6,1.03,252536.59,4.19
879762.22,14.6,1.04,252507.83,4.19
879609.77,14.6,1.03,252464.62,4.19
879373.25,14.6,1.03,252341.89,4.19
879424.78,14.6,1.03,252516.85,4.19
879424.78,14.6,1.03,252516.85,4.19
879476.31,14.6,1.04,252170.54,4.19
879527.84,14.61,1.04,251950.45,4.18
879579.37,14.61,1.04,252068.93,4.19
879630.9,14.61,1.04,252127.97,4.19
879541.82,14.61,1.04,252198.95,4.19
879949.97,14.62,1.05,252130.21,4.19
879893.84,14.62,1.05,251856.8,4.18
879945.37,14.62,1.06,251684.28,4.18
880105.68,14.63,1.06,252162.18,4.19
880157.21,14.63,1.06,252280.66,4.19
880157.21,14.63,1.06,252290.74,4.19
879921.23,14.63,1.06,252043.13,4.19
879921.23,14.63,1.06,252175.81,4.19
879972.76,14.63,1.06,252234.86,4.19
880024.29,14.63,1.07,252353.33,4.2
880184.61,14.64,1.07,252381.06,4.2
880236.14,14.64,1.07,252499.53,4.2
880000.16,14.64,1.07,252423.34,4.2
880198.44,14.64,1.07,252539.64,4.2
880358.76,14.64,1.08,252510.88,4.2
880589.61,14.65,1.08,252781.46,4.21
880375.54,14.65,1.08,252551.63,4.2
880934.07,14.66,1.09,252649.41,4.2
880644.22,14.65,1.09,252159.88,4.2
880798.48,14.66,1.09,252251.85,4.2
880445.14,14.65,1.09,251932.24,4.19
880209.16,14.65,1.08,251950.03,4.19
880209.16,14.65,1.08,251950.03,4.19
880209.16,14.65,1.08,251950.03,4.19
880363.42,14.66,1.09,252170.43,4.2
880523.74,14.66,1.09,252141.67,4.2
880229.8,14.66,1.09,251957.31,4.19
880460.66,14.66,1.09,252227.89,4.2
880306.9,14.66,1.09,252028.57,4.2
880358.43,14.66,1.09,251682.26,4.19
880358.43,14.66,1.09,257299.1,4.28
880122.45,14.66,1.09,257316.89,4.29
880122.45,14.66,1.09,257326.98,4.29
880173.98,14.66,1.09,257106.89,4.28
880339.88,14.66,1.1,257054.17,4.28
882880.48,14.71,1.14,258798.84,4.31
882648.91,14.7,1.14,258679.03,4.31
882700.44,14.71,1.14,258931.36,4.31
882751.97,14.71,1.14,259049.84,4.32
882515.45,14.71,1.14,258807.71,4.31
882566.98,14.71,1.14,258866.76,4.31
882618.51,14.71,1.15,258985.23,4.32
882772.78,14.72,1.15,259068.29,4.32
882512.85,14.71,1.15,258906.49,4.32
882673.17,14.72,1.15,258877.73,4.32
882460.4,14.71,1.15,258704.92,4.31
882614.67,14.72,1.15,258933.22,4.32
882378.69,14.72,1.15,258906.04,4.32
882430.22,14.72,1.15,259024.51,4.32
882584.48,14.72,1.16,259107.57,4.32
882744.8,14.73,1.16,259078.81,4.32
882744.8,14.73,1.16,259211.49,4.32
882796.33,14.73,1.16,259386.45,4.33
882560.35,14.73,1.16,259310.27,4.33
882611.88,14.73,1.16,259428.74,4.33
882351.95,14.73,1.16,259173.87,4.33
882092.02,14.72,1.16,259012.07,4.32
882143.55,14.73,1.16,259071.11,4.32
882195.08,14.73,1.16,258724.81,4.32
882246.61,14.73,1.16,258504.72,4.32
882298.14,14.73,1.17,258623.19,4.32
882298.14,14.73,1.17,264240.03,4.41
882458.46,14.74,1.17,264267.76,4.41
882458.46,14.74,1.17,264267.76,4.41
882612.73,14.74,1.18,264359.73,4.42
882664.26,14.74,1.18,264469.29,4.42
882818.52,14.75,1.18,264561.26,4.42
882582.54,14.75,1.18,264485.08,4.42
882322.61,14.74,1.18,264323.28,4.42
882482.93,14.75,1.18,264430.84,4.42
882534.46,14.75,1.18,264549.31,4.42
882585.99,14.75,1.19,264608.36,4.42
882585.99,14.75,1.19,264608.36,4.42
882350.01,14.75,1.18,264580.45,4.42
882504.28,14.75,1.19,264672.42,4.42
882702.56,14.76,1.19,264923.83,4.43
882442.63,14.75,1.19,264669.69,4.43
882494.16,14.76,1.19,264323.38,4.42
882545.69,14.76,1.19,264103.29,4.42
882597.22,14.76,1.2,264221.77,4.42
882648.75,14.77,1.2,264280.81,4.42
882847.03,14.77,1.2,263921.5,4.42
882898.56,14.77,1.21,263823.49,4.41
883096.83,14.78,1.21,263464.18,4.41
888494.57,14.87,1.3,269115.65,4.5
888546.1,14.87,1.31,269017.64,4.5
888597.63,14.87,1.31,269136.12,4.51
888649.16,14.88,1.31,269195.16,4.51
888700.69,14.88,1.31,269313.64,4.51
888456.75,14.88,1.31,269116.84,4.51
888611.02,14.88,1.31,269199.9,4.51
888662.55,14.88,1.32,269318.38,4.51
891203.14,14.93,1.36,271063.04,4.54
890959.2,14.92,1.36,270866.25,4.54
891010.73,14.93,1.36,270925.29,4.54
891412.17,14.93,1.37,270983.45,4.54
891572.49,14.94,1.37,270954.69,4.54
891534.12,14.94,1.37,270572.3,4.53
891585.65,14.94,1.38,270747.26,4.54
891359.67,14.94,1.37,270680.87,4.54
891519.99,14.94,1.38,270652.1,4.54
891571.52,14.95,1.38,270827.07,4.54
891311.59,14.94,1.38,270665.27,4.54
891363.12,14.95,1.38,270783.74,4.54
891414.65,14.95,1.38,270862.14,4.54
891466.18,14.95,1.39,270515.83,4.54
891230.2,14.95,1.38,270439.64,4.54
891281.73,14.95,1.39,270219.55,4.53
891447.63,14.96,1.39,270166.84,4.53
891216.07,14.95,1.39,270047.03,4.53
891267.6,14.96,1.39,270299.36,4.54
891319.13,14.96,1.39,270417.84,4.54
891319.13,14.96,1.39,271136.36,4.55
891370.66,14.96,1.4,271195.4,4.55
891200.73,14.96,1.39,271113.5,4.55
891354.99,14.96,1.4,271205.48,4.55
891197.8,14.96,1.4,271052.94,4.55
891197.8,14.96,1.4,271099.53,4.55
891358.12,14.97,1.4,271207.1,4.55
891122.14,14.96,1.4,271179.81,4.55
891598.19,14.97,1.41,271238.25,4.55
891428.26,14.97,1.4,271075.25,4.55
890958.35,14.96,1.4,270528.58,4.54
890698.42,14.96,1.39,270273.81,4.54
890929.28,14.97,1.4,270361.98,4.54
890772.08,14.96,1.4,270209.44,4.54
890932.4,14.97,1.4,270363.09,4.54
890672.47,14.96,1.4,270212.48,4.54
890436.49,14.96,1.39,270230.27,4.54
890279.89,14.96,1.39,270043.38,4.54
890331.42,14.96,1.4,270161.85,4.54
890529.7,14.97,1.4,270278.15,4.54
890690.02,14.97,1.4,270249.39,4.54
890844.28,14.97,1.41,270477.68,4.55
890844.28,14.97,1.41,270874.18,4.55
890895.81,14.98,1.41,270988.03,4.56
890669.83,14.97,1.41,270969.6,4.56
890721.36,14.98,1.41,271027.2,4.56
890881.68,14.98,1.42,270998.43,4.56
890724.49,14.98,1.41,270845.21,4.55
890488.51,14.98,1.41,270701.45,4.55
890642.77,14.98,1.41,271046.32,4.56
890535.58,14.98,1.41,270943.78,4.56
897383.47,15.09,1.53,277778.97,4.67
897543.79,15.1,1.53,277750.2,4.67
897698.05,15.1,1.54,278178.59,4.68
897749.59,15.11,1.54,278297.07,4.68
897980.44,15.11,1.54,278440.52,4.69
898031.97,15.11,1.55,278094.21,4.68
898083.5,15.12,1.55,277874.12,4.68
898314.36,15.12,1.56,277955.69,4.68
898314.36,15.12,1.56,277955.09,4.68
898078.38,15.12,1.55,277727.72,4.68
898129.91,15.12,1.56,277901.48,4.68
898290.23,15.13,1.56,277872.72,4.68
898290.23,15.13,1.56,277872.72,4.68
898137.78,15.12,1.56,277671.17,4.68
898189.31,15.13,1.56,277846.14,4.68
898240.84,15.13,1.56,277964.61,4.68
898004.86,15.13,1.56,277888.42,4.68
898165.18,15.13,1.56,277916.15,4.68
897921.24,15.13,1.56,277780.77,4.68
897685.26,15.12,1.56,277704.58,4.68
897685.26,15.12,1.56,279513.34,4.71
897425.33,15.12,1.55,279259.72,4.71
897585.65,15.13,1.56,279230.96,4.71
897295.72,15.12,1.55,278946.08,4.7
897081.64,15.12,1.55,278775.51,4.7
896974.45,15.12,1.55,278672.97,4.7
896714.52,15.11,1.55,278418.2,4.69
896478.0,15.11,1.54,278295.46,4.69
896242.02,15.11,1.54,278151.71,4.69
903156.72,15.22,1.66,284342.95,4.79
902920.2,15.22,1.65,284220.05,4.79
902971.73,15.22,1.66,284462.58,4.8
902737.33,15.22,1.65,284255.06,4.79
902788.86,15.22,1.66,284373.53,4.8
902949.18,15.23,1.66,284401.26,4.8
903000.71,15.23,1.66,284519.73,4.8
903000.71,15.23,1.66,284519.13,4.8
902911.63,15.23,1.66,284589.35,4.8
903071.94,15.23,1.67,284617.08,4.8
902982.86,15.23,1.67,284688.05,4.8
902982.86,15.23,1.67,284688.05,4.8
903143.18,15.24,1.67,284659.29,4.8
903194.71,15.24,1.67,284834.25,4.81
903246.24,15.24,1.68,284952.73,4.81
903020.26,15.24,1.67,284886.34,4.81
903186.16,15.24,1.68,284903.98,4.81
903173.13,15.24,1.68,285064.34,4.81
903327.39,15.25,1.68,285156.31,4.81
903378.92,15.25,1.69,285265.88,4.82
903430.45,15.25,1.69,284919.57,4.81
903273.26,15.25,1.69,284767.31,4.81
903074.73,15.25,1.68,284536.19,4.8
902814.8,15.25,1.68,284374.39,4.8
903045.66,15.25,1.68,284295.01,4.8
903604.19,15.26,1.7,284392.78,4.8
903604.19,15.26,1.7,284551.41,4.81
903317.67,15.26,1.69,284312.98,4.8
903719.1,15.27,1.7,284371.14,4.8
903719.1,15.27,1.7,284487.82,4.81
903719.1,15.27,1.7,284841.69,4.81
903429.25,15.26,1.7,284352.16,4.8
903966.48,15.27,1.71,284572.25,4.81
904018.01,15.28,1.71,284690.72,4.81
904178.33,15.28,1.71,284718.45,4.81
903942.35,15.28,1.71,284642.26,4.81
903942.35,15.28,1.71,287536.03,4.86
